2025-12-05 19:46:02 | voice_tutor | INFO | <module>:19 | ==================================================
2025-12-05 19:46:02 | voice_tutor | INFO | <module>:20 | Application started
2025-12-05 19:46:02 | voice_tutor | INFO | <module>:21 | ==================================================
2025-12-05 19:46:02 | voice_tutor | INFO | <module>:25 | API keys validated
2025-12-05 19:46:02 | voice_tutor | INFO | <module>:29 | Session state initialized
2025-12-05 19:46:03 | voice_tutor | INFO | get_services:35 | Initializing services...
2025-12-05 19:46:03 | voice_tutor | INFO | __init__:13 | Initializing LLMService...
2025-12-05 19:46:03 | voice_tutor | INFO | __init__:17 | Gemini configured with model: gemini-2.5-flash
2025-12-05 19:46:03 | voice_tutor | INFO | __init__:36 | Chat session started successfully
2025-12-05 19:46:03 | voice_tutor | INFO | __init__:13 | Initializing TTSService...
2025-12-05 19:46:03 | voice_tutor | INFO | __init__:15 | ElevenLabs client initialized with voice: pNInz6obpgDQGcFmaJgB
2025-12-05 19:46:03 | voice_tutor | INFO | <module>:43 | All services initialized successfully
2025-12-05 19:46:03 | voice_tutor | DEBUG | <module>:158 | No messages in history - showing welcome message
2025-12-05 19:46:03 | voice_tutor | DEBUG | <module>:175 | App render complete
2025-12-05 19:46:10 | voice_tutor | INFO | <module>:19 | ==================================================
2025-12-05 19:46:10 | voice_tutor | INFO | <module>:20 | Application started
2025-12-05 19:46:10 | voice_tutor | INFO | <module>:21 | ==================================================
2025-12-05 19:46:10 | voice_tutor | INFO | <module>:25 | API keys validated
2025-12-05 19:46:10 | voice_tutor | INFO | <module>:29 | Session state initialized
2025-12-05 19:46:10 | voice_tutor | INFO | <module>:43 | All services initialized successfully
2025-12-05 19:46:10 | voice_tutor | INFO | <module>:59 | Audio input detected
2025-12-05 19:46:10 | voice_tutor | INFO | transcribe_audio:68 | Starting audio transcription...
2025-12-05 19:46:10 | voice_tutor | DEBUG | transcribe_audio:73 | Reading audio from UploadedFile object
2025-12-05 19:46:10 | voice_tutor | INFO | transcribe_audio:79 | Audio data size: 374444 bytes
2025-12-05 19:46:10 | voice_tutor | DEBUG | transcribe_audio:81 | Sending audio to Gemini for transcription...
2025-12-05 19:46:18 | voice_tutor | INFO | transcribe_audio:88 | Transcription successful: How are you
2025-12-05 19:46:18 | voice_tutor | INFO | <module>:66 | Transcription complete: How are you
2025-12-05 19:46:18 | voice_tutor | DEBUG | <module>:71 | User message added to chat history
2025-12-05 19:46:18 | voice_tutor | INFO | get_response:44 | User message received: How are you...
2025-12-05 19:46:18 | voice_tutor | DEBUG | get_response:47 | Sending message to Gemini...
2025-12-05 19:46:20 | voice_tutor | INFO | get_response:50 | AI response received: I'm doing great, thank you for asking! I'm ready and happy to help you learn today. What's on your m...
2025-12-05 19:46:20 | voice_tutor | DEBUG | get_response:51 | Full response: I'm doing great, thank you for asking! I'm ready and happy to help you learn today. What's on your mind?
2025-12-05 19:46:20 | voice_tutor | INFO | <module>:77 | AI response generated: I'm doing great, thank you for asking! I'm ready and happy to help you learn today. What's on your m...
2025-12-05 19:46:20 | voice_tutor | DEBUG | <module>:79 | Assistant message added to chat history
2025-12-05 19:46:20 | voice_tutor | INFO | synthesize_speech:23 | Synthesizing speech for text: I'm doing great, thank you for asking! I'm ready and happy to help you learn today. What's on your m...
2025-12-05 19:46:20 | voice_tutor | DEBUG | synthesize_speech:26 | Using model: eleven_flash_v2_5
2025-12-05 19:46:20 | voice_tutor | DEBUG | synthesize_speech:42 | Converting audio generator to bytes...
2025-12-05 19:46:21 | voice_tutor | INFO | synthesize_speech:45 | Speech synthesis successful. Audio size: 104116 bytes
2025-12-05 19:46:21 | voice_tutor | INFO | <module>:86 | TTS generation successful
2025-12-05 19:46:21 | voice_tutor | INFO | <module>:92 | Conversation count: 1
2025-12-05 19:46:21 | voice_tutor | INFO | <module>:19 | ==================================================
2025-12-05 19:46:21 | voice_tutor | INFO | <module>:20 | Application started
2025-12-05 19:46:21 | voice_tutor | INFO | <module>:21 | ==================================================
2025-12-05 19:46:21 | voice_tutor | INFO | <module>:25 | API keys validated
2025-12-05 19:46:21 | voice_tutor | INFO | <module>:29 | Session state initialized
2025-12-05 19:46:21 | voice_tutor | INFO | <module>:43 | All services initialized successfully
2025-12-05 19:46:21 | voice_tutor | INFO | <module>:59 | Audio input detected
2025-12-05 19:46:21 | voice_tutor | INFO | transcribe_audio:68 | Starting audio transcription...
2025-12-05 19:46:21 | voice_tutor | DEBUG | transcribe_audio:73 | Reading audio from UploadedFile object
2025-12-05 19:46:21 | voice_tutor | INFO | transcribe_audio:79 | Audio data size: 374444 bytes
2025-12-05 19:46:21 | voice_tutor | DEBUG | transcribe_audio:81 | Sending audio to Gemini for transcription...
2025-12-05 19:46:25 | voice_tutor | INFO | transcribe_audio:88 | Transcription successful: How are you
2025-12-05 19:46:25 | voice_tutor | INFO | <module>:66 | Transcription complete: How are you
2025-12-05 19:46:25 | voice_tutor | DEBUG | <module>:71 | User message added to chat history
2025-12-05 19:46:25 | voice_tutor | INFO | get_response:44 | User message received: How are you...
2025-12-05 19:46:25 | voice_tutor | DEBUG | get_response:47 | Sending message to Gemini...
2025-12-05 19:46:27 | voice_tutor | INFO | get_response:50 | AI response received: I'm still doing well, thanks! How can I help you today? Is there something specific you'd like to le...
2025-12-05 19:46:27 | voice_tutor | DEBUG | get_response:51 | Full response: I'm still doing well, thanks! How can I help you today? Is there something specific you'd like to learn or discuss?
2025-12-05 19:46:27 | voice_tutor | INFO | <module>:77 | AI response generated: I'm still doing well, thanks! How can I help you today? Is there something specific you'd like to le...
2025-12-05 19:46:27 | voice_tutor | DEBUG | <module>:79 | Assistant message added to chat history
2025-12-05 19:46:27 | voice_tutor | INFO | synthesize_speech:23 | Synthesizing speech for text: I'm still doing well, thanks! How can I help you today? Is there something specific you'd like to le...
2025-12-05 19:46:27 | voice_tutor | DEBUG | synthesize_speech:26 | Using model: eleven_flash_v2_5
2025-12-05 19:46:27 | voice_tutor | DEBUG | synthesize_speech:42 | Converting audio generator to bytes...
2025-12-05 19:46:28 | voice_tutor | INFO | synthesize_speech:45 | Speech synthesis successful. Audio size: 111222 bytes
2025-12-05 19:46:28 | voice_tutor | INFO | <module>:86 | TTS generation successful
2025-12-05 19:46:28 | voice_tutor | INFO | <module>:92 | Conversation count: 2
2025-12-05 19:46:28 | voice_tutor | INFO | <module>:19 | ==================================================
2025-12-05 19:46:28 | voice_tutor | INFO | <module>:20 | Application started
2025-12-05 19:46:28 | voice_tutor | INFO | <module>:21 | ==================================================
2025-12-05 19:46:28 | voice_tutor | INFO | <module>:25 | API keys validated
2025-12-05 19:46:28 | voice_tutor | INFO | <module>:29 | Session state initialized
2025-12-05 19:46:28 | voice_tutor | INFO | <module>:43 | All services initialized successfully
2025-12-05 19:46:28 | voice_tutor | INFO | <module>:59 | Audio input detected
2025-12-05 19:46:28 | voice_tutor | INFO | transcribe_audio:68 | Starting audio transcription...
2025-12-05 19:46:28 | voice_tutor | DEBUG | transcribe_audio:73 | Reading audio from UploadedFile object
2025-12-05 19:46:28 | voice_tutor | INFO | transcribe_audio:79 | Audio data size: 374444 bytes
2025-12-05 19:46:28 | voice_tutor | DEBUG | transcribe_audio:81 | Sending audio to Gemini for transcription...
2025-12-05 19:46:31 | voice_tutor | INFO | transcribe_audio:88 | Transcription successful: How are you?
2025-12-05 19:46:31 | voice_tutor | INFO | <module>:66 | Transcription complete: How are you?
2025-12-05 19:46:31 | voice_tutor | DEBUG | <module>:71 | User message added to chat history
2025-12-05 19:46:31 | voice_tutor | INFO | get_response:44 | User message received: How are you?...
2025-12-05 19:46:31 | voice_tutor | DEBUG | get_response:47 | Sending message to Gemini...
2025-12-05 19:46:33 | voice_tutor | INFO | get_response:50 | AI response received: I'm doing well, thank you for asking again! I'm here and ready to help you learn.

What can we explo...
2025-12-05 19:46:33 | voice_tutor | DEBUG | get_response:51 | Full response: I'm doing well, thank you for asking again! I'm here and ready to help you learn.

What can we explore together today? Is there a topic you're curious about or need some help with?
2025-12-05 19:48:57 | voice_tutor | INFO | <module>:19 | ==================================================
2025-12-05 19:48:57 | voice_tutor | INFO | <module>:20 | Application started
2025-12-05 19:48:57 | voice_tutor | INFO | <module>:21 | ==================================================
2025-12-05 19:48:57 | voice_tutor | INFO | <module>:25 | API keys validated
2025-12-05 19:48:57 | voice_tutor | INFO | <module>:29 | Session state initialized
2025-12-05 19:48:57 | voice_tutor | INFO | get_services:41 | Initializing services...
2025-12-05 19:48:57 | voice_tutor | INFO | __init__:13 | Initializing LLMService...
